"BIT-3210","24702","8","Regular",,"Técnica Diseño Curricular","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Octavo semestre"
"BIT-6160","24702","8","Regular",,"Práctica Profesional Supervisada","5","10","0","Licenciatura en Educación mención Informática Educativa",,"Octavo semestre"
"BIT-ZZY0","24702","8","Regular",,"Asignaturas Optativas","3","0","0","Licenciatura en Educación mención Informática Educativa",,"Octavo semestre"
"TEG-2180","24702","8","Regular",,"Filosofía e Historia de la Educación Dominicana","3","0","3","Licenciatura en Educación mención Informática Educativa",,"Octavo semestre"
"TEG-2190","24702","8","Regular",,"Ética Profesional del Docente","3","0","3","Licenciatura en Educación mención Informática Educativa",,"Octavo semestre"
"BIT-6190","24702","0","Regular",,"Tesis de Grado o Curso Equivalente","8","0","0","Licenciatura en Educación mención Informática Educativa",,"Tesis de grado"
"INF-3290","24702","7","Optativa","INF-3230","Análisis y Diseño de Sistema","5","2","3","Licenciatura en Educación mención Informática Educativa","INF-3240","Séptimo semestre"
"INF-5140","24702","7","Optativa",,"Lenguaje de Programación III","4","0","4","Licenciatura en Educación mención Informática Educativa","INF-5150","Séptimo semestre"
"","","","",,,,,,,"INF-5120",
"INF-5150","24702","7","Optativa",,"Laboratorio de Lenguaje de Programación II","1","2","0","Licenciatura en Educación mención Informática Educativa","INF-5140","Séptimo semestre"
"","","","",,,,,,,"INF-5120",
"","","","",,,,,,,"INF-5130",
"TEG-4110","24702","8","Optativa","PED-4110","Pedagogía Social","3","0","3","Licenciatura en Educación mención Informática Educativa","TEG-3140","Octavo semestre"
"BIO-0170","24701","1","Regular","BIO-0110","Biología Básica","2","0","2","Licenciatura en Bibliotecología y Ciencias de la Información","BIO-0180","Primer semestre"
"","","","","BIO-0140",,,,,,,
"BIO-0180","24701","1","Regular","BIO-0110-L","Laboratorio de Biología Básica","1","2","0","Licenciatura en Bibliotecología y Ciencias de la Información","BIO-0170","Primer semestre"
"","","","","BIO-0140-L",,,,,,,
"EFI-0120","24701","1","Regular","ART-0410","Educación Física","2","2","1","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"","","","","ART-0420",,,,,,,
"","","","","ART-0510",,,,,,,
"","","","","EFI-1700",,,,,,,
"","","","","EFS-0110",,,,,,,
"","","","","EFS-0120",,,,,,,
"","","","","EXT-0110",,,,,,,
"","","","","PED-1700",,,,,,,
"FIL-0110","24701","1","Regular",,"Introducción a la Filosofía","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"HIS-0110","24701","1","Regular","HIS-1100","Fundamentos de Historia Social Dominicana","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"LET-0110","24701","1","Regular","LET-0130","Lengua Española Básica I","3","1","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"","","","","LET-0150",,,,,,,
"MAT-0140","24701","1","Regular","MAT-0120","Matemática Básica","4","0","4","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"","","","","MAT-0130",,,,,,,
"","","","","MAT-0840",,,,,,,
"OSI-0310","24701","1","Regular","DOP-0100","Orientación Institucional y Académica","2","0","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"","","","","DOP-1000",,,,,,,
"","","","","OSI-1000",,,,,,,
"QUI-0140","24701","1","Regular","QUI-0110","Química Básica","3","3","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Primer semestre"
"","","","","QUI-0120",,,,,,,
"","","","","QUI-1020",,,,,,,
"BIT-1110","24701","2","Regular",,"El libro, las bibliotecas y cultura","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"BIT-1120","24701","2","Regular",,"Fundamentos Bibliotec y Ciencias Inf","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"BIT-1130","24701","2","Regular",,"Inf Aplica Unidades Información","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"BIT-2110","24701","2","Regular",,"Técnica de Investigación Documental Uso Inf","2","2","1","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"FIS-0180","24701","2","Regular","FIS-0140","Física Básica","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información","FIS-0200","Segundo semestre"
"FIS-0200","24701","2","Regular","FIS-0140-L","Laboratorio de Física Básica","1","3","0","Licenciatura en Bibliotecología y Ciencias de la Información","FIS-0180","Segundo semestre"
"INF-1100","24701","2","Regular",,"Fundamentos de Informática","4","2","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"LET-0120","24701","2","Regular","LET-0130","Lengua Española Básica II","3","1","3","Licenciatura en Bibliotecología y Ciencias de la Información","LET-0110","Segundo semestre"
"","","","","LET-0160",,,,,,,
"SOC-0100","24701","2","Regular","ICS-0110","Introducción a las Ciencias Sociales","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Segundo semestre"
"","","","","SOC-0120",,,,,,,
"BIT-1140","24701","3","Regular",,"Achivología","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"BIT-2130","24701","3","Regular",,"Organiación y Representación de Información I","5","4","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"BIT-2140","24701","3","Regular",,"Fuentes y Servicios de Información","4","2","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"EST-1100","24701","3","Regular","EST-1110","Fundamento de Estadística","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información","MAT-0140","Tercer semestre"
"","","","","EST-1120",,,,,,,
"","","","","EST-1140",,,,,,,
"","","","","EST-1210",,,,,,,
"","","","","EST-1220",,,,,,,
"","","","","EST-1310",,,,,,,
"","","","","EST-1320",,,,,,,
"","","","","EST-2100",,,,,,,
"","","","","EST-2210",,,,,,,
"","","","","EST-2250",,,,,,,
"IDI-0230","24701","3","Regular",,"Inglés Elemental I","6","2","5","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"LET-2140","24701","3","Regular",,"Corrección de Textos y Práctica Ortog","2","1","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"TEG-1110","24701","3","Regular","PED-1110","Fundamentos de la Educación","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Tercer semestre"
"","","","","PED-1130",,,,,,,
"","","","","TEG-1130",,,,,,,
"BIT-2150","24701","4","Regular",,"Desarrollo de Colecciones","4","4","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Cuarto semestre"
"BIT-2160","24701","4","Regular",,"Referencia y Servicios de Información","3","3","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Cuarto semestre"
"BIT-2180","24701","4","Regular",,"Organización y Representació Información II","4","4","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Cuarto semestre"
"FIB-2000","24701","4","Regular",,"Didáctica General","4","2","3","Licenciatura en Bibliotecología y Ciencias de la Información","TEG-1110","Cuarto semestre"
"IDI-0240","24701","4","Regular","IDI-0220","Inglés Elemental II","6","2","5","Licenciatura en Bibliotecología y Ciencias de la Información","IDI-0230","Cuarto semestre"
"","","","",,,,,,,"IDI-0210",
"PSI-1050","24701","4","Regular","PED-2500","Introducción a la Psicología","3","0","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Cuarto semestre"
"","","","","PSI-1000",,,,,,,
"","","","","PSI-1010",,,,,,,
"BIT-2170","24701","5","Regular",,"Preservación y Conservación de Documentos","4","4","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Quinto semestre"
"BIT-3110","24701","5","Regular",,"Recuperación de la Información","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Quinto semestre"
"BIT-3120","24701","5","Regular",,"Formación de Usar y Alfabet Infor","4","4","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Quinto semestre"
"BIT-3150","24701","5","Regular",,"Lenguajes Doc e Indización Sis","5","4","3","Licenciatura en Bibliotecología y Ciencias de la Información",,"Quinto semestre"
"IDI-1250","24701","5","Regular","IDI-1210","Inglés Intermedio I","6","2","5","Licenciatura en Bibliotecología y Ciencias de la Información","IDI-0230","Quinto semestre"
"","","","",,,,,,,"IDI-0210",
"","","","",,,,,,,"IDI-0240",
"BIT-3130","24701","6","Regular",,"Diseño y Evaluación de Bases de Datos","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Sexto semestre"
"BIT-3140","24701","6","Regular",,"Gestión de Unidades de Información","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Sexto semestre"
"BIT-3160","24701","6","Regular",,"Prom Lect y Desarrollo Sociocomunitario","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Sexto semestre"
"BIT-ZZZ0","24701","6","Regular",,"Asignaturas Optativas","0","0","0","Licenciatura en Bibliotecología y Ciencias de la Información",,"Sexto semestre"
"IDI-1260","24701","6","Regular","IDI-1220","Inglés Intermedio II","6","2","5","Licenciatura en Bibliotecología y Ciencias de la Información","IDI-0230","Sexto semestre"
"","","","",,,,,,,"IDI-0210",
"","","","",,,,,,,"IDI-0240",
"","","","",,,,,,,"IDI-1250",
"","","","",,,,,,,"IDI-1210",
"BIT-1170","24701","7","Regular",,"Investigación Bibliográfica","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Séptimo semestre"
"BIT-3170","24701","7","Regular",,"Control Bibliog y Bibliog Nacion","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Séptimo semestre"
"BIT-3180","24701","7","Regular",,"Diseño de Productos y Servicios Digital","3","2","2","Licenciatura en Bibliotecología y Ciencias de la Información",,"Séptimo semestre"
"BIT-ZZZ0","24701","7","Regular",,"Asignaturas Optativas","0","0","0","Licenciatura en Bibliotecología y Ciencias de la Información",,"Séptimo semestre"
"CIR-2170","24701","7","Regular",,"Historia del Arte","4","0","4","Licenciatura en Bibliotecología y Ciencias de la Información",,"Séptimo semestre"
